GSS,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
GTSF1L,Predicted intracellular proteins
GZF1,"Predicted intracellular proteins, Transcription factors"
HAO1,"Enzymes, Predicted intracellular proteins"
HCK,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
HELZ2,"Plasma proteins, Predicted intracellular proteins"
HM13,"Enzymes, Plasma proteins, Predicted membrane proteins"
HNF4A,"Disease related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors"
HRH3,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"
HSPA12B,"Plasma proteins, Predicted intracellular proteins"
ID1,"Cancer-related genes, Plasma proteins, Predicted secreted proteins, Transcription factors"
IDH3B,"Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
IFT52,"Disease related genes, Predicted intracellular proteins"
INSM1,"Predicted intracellular proteins, Transcription factors"
ISM1,Predicted secreted proteins
ITCH,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ITPA,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
JAG1,"CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
JPH2,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
KAT14,Predicted intracellular proteins
KCNB1,"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"
KCNG1,"Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels"
KCNK15,"Predicted membrane proteins, Transporters, Voltage-gated ion channels"
KCNQ2,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"
KCNS1,"Predicted membrane proteins, Transporters, Voltage-gated ion channels"
KIAA1755,Predicted intracellular proteins
KIF3B,"Plasma proteins, Predicted intracellular proteins"
KIF16B,Predicted intracellular proteins
KIZ,"Disease related genes, Predicted intracellular proteins"
L3MBTL1,"Predicted intracellular proteins, Transcription factors"
LAMA5,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
LAMP5,Predicted membrane proteins
LBP,"Plasma proteins, Predicted secreted proteins, Transporters"
LIME1,Predicted secreted proteins
LKAAEAR1,Predicted intracellular proteins
LPIN3,"Enzymes, Predicted intracellular proteins"
LRRN4,Predicted membrane proteins
LSM14B,Predicted intracellular proteins
LZTS3,Predicted intracellular proteins
MACROD2,Predicted intracellular proteins
MAFB,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
MANBAL,Predicted membrane proteins
MAP1LC3A,Predicted intracellular proteins
MAPRE1,"Plasma proteins, Predicted intracellular proteins"
MATN4,"Plasma proteins, Predicted secreted proteins"
MAVS,Predicted membrane proteins
MC3R,"G-protein coupled receptors, Predicted membrane proteins"
MCM8,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
MGME1,"Disease related genes, Predicted intracellular proteins"
MKKS,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
MMP9,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins"
MMP24,"Enzymes, FDA approved drug targets, Predicted membrane proteins"
MMP24OS,NA
MOCS3,"Enzymes, Predicted intracellular proteins"
MRGBP,"Plasma proteins, Predicted intracellular proteins"
MROH8,Predicted intracellular proteins
MRPS26,"Predicted intracellular proteins, Ribosomal proteins"
MTG2,Predicted intracellular proteins
MTRNR2L3,Predicted intracellular proteins
MYBL2,"Cancer-related genes, Predicted intracellular proteins, Transcription factors"
MYH7B,Predicted intracellular proteins
MYL9,Predicted intracellular proteins
MYLK2,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
MYT1,"Plasma proteins, Predicted intracellular proteins, Transcription factors"
NAA20,"Enzymes, Predicted intracellular proteins"
NANP,"Enzymes, Predicted intracellular proteins"
NAPB,Predicted intracellular proteins
NCOA3,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Transcription factors"
NCOA5,Predicted intracellular proteins
NCOA6,Predicted intracellular proteins
NDRG3,Predicted intracellular proteins
NDUFAF5,"Disease related genes, Predicted intracellular proteins"
NECAB3,"Predicted intracellular proteins, Predicted secreted proteins"
NELFCD,Predicted intracellular proteins
NEURL2,Predicted intracellular proteins
NFATC2,"Cancer-related genes, Predicted intracellular proteins, Transcription factors"
NFS1,"Enzymes, Predicted intracellular proteins"
NINL,Predicted intracellular proteins
NKAIN4,"Predicted intracellular proteins, Predicted membrane proteins"
NKX2-2,"Predicted intracellular proteins, Transcription factors"
NKX2-4,"Predicted intracellular proteins, Transcription factors"
NNAT,Predicted membrane proteins
NOL4L,Predicted intracellular proteins
NOP56,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
NPBWR2,"G-protein coupled receptors, Predicted membrane proteins, Transporters"
NPEPL1,"Enzymes, Predicted intracellular proteins"
NRSN2,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
NSFL1C,"Plasma proteins, Predicted intracellular proteins"
NTSR1,"G-protein coupled receptors, Predicted membrane proteins, Transporters"
NXT1,Predicted intracellular proteins
OCSTAMP,"Predicted membrane proteins, Transporters"
OGFR,Predicted intracellular proteins
OPRL1,"G-protein coupled receptors, Predicted membrane proteins"
OSBPL2,"Disease related genes, Predicted intracellular proteins"
OSER1,Predicted intracellular proteins
OTOR,Predicted secreted proteins
OVOL2,"Disease related genes, Predicted intracellular proteins, Transcription factors"
OXT,"Plasma proteins, Predicted secreted proteins"
PABPC1L,Predicted intracellular proteins
PAK5,"Enzymes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"
PANK2,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
PARD6B,Predicted intracellular proteins
PAX1,"Disease related genes, Predicted intracellular proteins, Transcription factors"
PCED1A,Predicted intracellular proteins
PCIF1,"Plasma proteins, Predicted intracellular proteins"
